Designator,Mid X,Mid X,Mid Y,Mid Y,Layer,Rotation
3.3V,6.87,6.87mm,24.27,24.27mm,Top,90
5V,6.87,6.87mm,22.27,22.27mm,Top,90
24V,6.93,6.93mm,18.62,18.62mm,Top,90
A1,58.14,58.14mm,24.26,24.26mm,Top,90
A2,58.17,58.17mm,21.72,21.72mm,Top,90
B1,58.09,58.09mm,26.72,26.72mm,Top,90
B2,58.06,58.06mm,29.31,29.31mm,Top,90
BOOT,39.65,39.65mm,45.06,45.06mm,Top,0
C1,31.37,31.37mm,26.79,26.79mm,Top,90
C2,36.91,36.91mm,26.41,26.41mm,Top,90
C3,34.89,34.89mm,43.51,43.51mm,Top,90
C4,33.93,33.93mm,43.52,43.52mm,Top,90
C5,24.99,24.99mm,34.06,34.06mm,Top,180
C6,36.65,36.65mm,30.25,30.25mm,Top,0
C7,36.03,36.03mm,37.94,37.94mm,Top,0
C8,38.07,38.07mm,35.15,35.15mm,Top,0
C9,25.44,25.44mm,39.11,39.11mm,Top,180
C10,30.89,30.89mm,43.53,43.53mm,Top,90
C11,36.65,36.65mm,31.23,31.23mm,Top,0
C12,29.92,29.92mm,43.56,43.56mm,Top,90
C13,36.02,36.02mm,38.98,38.98mm,Top,0
C14,22.48,22.48mm,31.68,31.68mm,Top,0
C15,17.42,17.42mm,31.51,31.51mm,Top,270
C16,22.5,22.5mm,30.73,30.73mm,Top,0
C17,16.46,16.46mm,31.51,31.51mm,Top,270
C18,16,16mm,20.47,20.47mm,Top,90
C19,14.42,14.42mm,20.55,20.55mm,Top,90
C20,22.89,22.89mm,21.91,21.91mm,Top,0
C21,25.71,25.71mm,22.75,22.75mm,Top,180
C22,26.15,26.15mm,20.13,20.13mm,Top,90
C23,22.86,22.86mm,18.2,18.2mm,Top,180
C24,30.6,30.6mm,45.24,45.24mm,Top,0
C25,37.8,37.8mm,40.23,40.23mm,Top,180
C26,16.79,16.79mm,39.62,39.62mm,Top,90
C27,24.46,24.46mm,36.98,36.98mm,Top,270
C28,45.62,45.62mm,29.46,29.46mm,Top,0
C29,45.62,45.62mm,30.43,30.43mm,Top,180
C30,47.24,47.24mm,19.02,19.02mm,Top,0
C31,47.24,47.24mm,19.99,19.99mm,Top,0
C32,41.61,41.61mm,30.56,30.56mm,Top,0
C33,53.29,53.29mm,35.84,35.84mm,Top,180
C34,42.98,42.98mm,22.17,22.17mm,Top,180
C38,51.77,51.77mm,13.11,13.11mm,Top,0
C39,46.94,46.94mm,14.89,14.89mm,Top,270
C40,39.34,39.34mm,38.1,38.1mm,Top,0
C42,19.81,19.81mm,10.44,10.44mm,Top,180
C43,9.35,9.35mm,43.03,43.03mm,Top,90
C44,17.6,17.6mm,8.18,8.18mm,Top,270
C45,39.5,39.5mm,10.29,10.29mm,Top,0
D1,17.5,17.5mm,43.71,43.71mm,Top,0
D2,32.51,32.51mm,46.63,46.63mm,Top,90
D3,15,15mm,28.92,28.92mm,Top,90
D4,42.42,42.42mm,37.95,37.95mm,Top,0
D6,22.89,22.89mm,9.22,9.22mm,Top,180
D7,16.28,16.28mm,46.86,46.86mm,Top,180
D8,42.57,42.57mm,9.17,9.17mm,Top,180
F1,29.46,29.46mm,48.54,48.54mm,Top,180
FD4,55.15,55.15mm,9.11,9.11mm,Top,0
FD5,8.9,8.9mm,8.55,8.55mm,Top,0
FD6,41.62,41.62mm,51.43,51.43mm,Top,0
GND,6.9,6.9mm,20.53,20.53mm,Top,0
HE0,58.17,58.17mm,16.94,16.94mm,Top,0
IO1,35.18,35.18mm,46.94,46.94mm,Top,0
IO2,34.19,34.19mm,46.96,46.96mm,Top,0
L1,20.24,20.24mm,26.62,26.62mm,Top,0
L2,15.85,15.85mm,37.26,37.26mm,Top,180
M1,40.16,40.16mm,19.08,19.08mm,Top,180
M2,25.98,25.98mm,9.14,9.14mm,Top,0
M3,9.98,9.98mm,47.19,47.19mm,Top,180
M4,45.62,45.62mm,9.19,9.19mm,Top,0
P1,20.62,20.62mm,20.09,20.09mm,Top,0
P2,19.73,19.73mm,32.11,32.11mm,Top,0
R1,35.72,35.72mm,40.42,40.42mm,Top,90
R2,34.69,34.69mm,40.43,40.43mm,Top,270
R3,35.26,35.26mm,29.01,29.01mm,Top,180
R4,34.09,34.09mm,30.02,30.02mm,Top,180
R5,16.84,16.84mm,18.35,18.35mm,Top,90
R6,17.02,17.02mm,21.93,21.93mm,Top,90
R7,24.94,24.94mm,18.2,18.2mm,Top,0
R8,23.73,23.73mm,19.47,19.47mm,Top,0
R9,23.72,23.72mm,20.52,20.52mm,Top,180
R10,31.9,31.9mm,43.28,43.28mm,Top,270
R11,32.92,32.92mm,43.28,43.28mm,Top,270
R12,35.89,35.89mm,45.54,45.54mm,Top,90
R13,35.89,35.89mm,43.66,43.66mm,Top,270
R14,36.75,36.75mm,41.83,41.83mm,Top,90
R15,14.94,14.94mm,30.92,30.92mm,Top,90
R16,15.09,15.09mm,35.59,35.59mm,Top,270
R17,30.56,30.56mm,29.82,29.82mm,Top,0
R18,30.56,30.56mm,28.8,28.8mm,Top,0
R19,29.03,29.03mm,25.37,25.37mm,Top,0
R20,26.37,26.37mm,31.6,31.6mm,Top,180
R21,45.85,45.85mm,31.42,31.42mm,Top,0
R22,42.09,42.09mm,24.33,24.33mm,Top,270
R23,45.85,45.85mm,32.49,32.49mm,Top,180
R24,43.51,43.51mm,21.16,21.16mm,Top,0
R25,43.54,43.54mm,20.14,20.14mm,Top,0
R26,50.04,50.04mm,28.19,28.19mm,Top,270
R27,50.09,50.09mm,22.99,22.99mm,Top,90
R28,36,36mm,50.41,50.41mm,Top,0
R30,47.55,47.55mm,17.04,17.04mm,Top,0
R31,47.52,47.52mm,18.03,18.03mm,Top,0
R33,45.06,45.06mm,37.87,37.87mm,Top,180
R34,45.06,45.06mm,39.93,39.93mm,Top,180
R35,45.06,45.06mm,38.91,38.91mm,Top,180
R36,39.12,39.12mm,39.09,39.09mm,Top,180
R37,52.5,52.5mm,17.17,17.17mm,Top,270
R40,8.99,8.99mm,27.66,27.66mm,Top,270
R41,8.94,8.94mm,30.05,30.05mm,Top,270
R44,19.99,19.99mm,7.72,7.72mm,Top,180
R45,19.99,19.99mm,8.69,8.69mm,Top,180
R46,13.26,13.26mm,46.61,46.61mm,Top,180
R47,13.26,13.26mm,47.9,47.9mm,Top,180
R48,39.93,39.93mm,7.77,7.77mm,Top,180
R49,39.93,39.93mm,8.86,8.86mm,Top,180
RST,39.65,39.65mm,42.21,42.21mm,Top,180
SJ1,7.32,7.32mm,36.32,36.32mm,Top,270
SJ2,42.93,42.93mm,45.03,45.03mm,Top,180
SJ3,28.88,28.88mm,51.18,51.18mm,Top,180
TH0,57.58,57.58mm,39.98,39.98mm,Top,0
U1,31.11,31.11mm,35.5,35.5mm,Top,0
U2,24.94,24.94mm,43.36,43.36mm,Top,0
U3,20.68,20.68mm,37.26,37.26mm,Top,180
U5,27.64,27.64mm,28.47,28.47mm,Top,0
U6,50.27,50.27mm,16.61,16.61mm,Top,180
U7,45.75,45.75mm,25.45,25.45mm,Top,270
USB,22.89,22.89mm,50.15,50.15mm,Top,180
X1,34.06,34.06mm,26.7,26.7mm,Top,0